+-----+-------+------+-------+
| qid | docno | rank | score |
+-----+-------+------+-------+
|  1  |  53   |  1   | 0.568 |
|  1  |   5   |  2   | 0.292 |
|  1  |  27   |  3   | 0.192 |
|  1  |  38   |  4   |  0.0  |
|  1  |  32   |  5   |  0.0  |
|  1  |  33   |  6   |  0.0  |
|  1  |  23   |  7   |  0.0  |
|  1  |  64   |  8   |  0.0  |
|  1  |  44   |  9   |  0.0  |
|  1  |  39   |  10  |  0.0  |
|  1  |  34   |  11  |  0.0  |
|  1  |   8   |  12  |  0.0  |
|  1  |  59   |  13  |  0.0  |
|  1  |  40   |  14  |  0.0  |
|  1  |  50   |  15  |  0.0  |
|  1  |  48   |  16  |  0.0  |
|  1  |  16   |  17  |  0.0  |
|  1  |  51   |  18  |  0.0  |
|  1  |  52   |  19  |  0.0  |
|  1  |  47   |  20  |  0.0  |
|  2  |  50   |  1   | 0.202 |
|  2  |  17   |  2   | 0.192 |
|  2  |  44   |  3   | 0.163 |
|  2  |  14   |  4   |  0.0  |
|  2  |  66   |  5   |  0.0  |
|  2  |  38   |  6   |  0.0  |
|  2  |  58   |  7   |  0.0  |
|  2  |  55   |  8   |  0.0  |
|  2  |   7   |  9   |  0.0  |
|  2  |  39   |  10  |  0.0  |
|  2  |  37   |  11  |  0.0  |
|  2  |  30   |  12  |  0.0  |
|  2  |   6   |  13  |  0.0  |
|  2  |  10   |  14  |  0.0  |
|  2  |  51   |  15  |  0.0  |
|  2  |   1   |  16  |  0.0  |
|  2  |   3   |  17  |  0.0  |
|  2  |  36   |  18  |  0.0  |
|  2  |  41   |  19  |  0.0  |
|  2  |  22   |  20  |  0.0  |
|  2  |  29   |  21  |  0.0  |
|  2  |   9   |  22  |  0.0  |
|  3  |  12   |  1   | 0.202 |
|  3  |   3   |  2   | 0.192 |
|  3  |  29   |  3   |  0.0  |
|  3  |  21   |  4   |  0.0  |
|  3  |  63   |  5   |  0.0  |
|  3  |  17   |  6   |  0.0  |
|  3  |  23   |  7   |  0.0  |
|  3  |  66   |  8   |  0.0  |
|  3  |  15   |  9   |  0.0  |
|  3  |  54   |  10  |  0.0  |
|  3  |  57   |  11  |  0.0  |
|  3  |  51   |  12  |  0.0  |
|  3  |  37   |  13  |  0.0  |
|  3  |  34   |  14  |  0.0  |
|  3  |   5   |  15  |  0.0  |
|  3  |  62   |  16  |  0.0  |
|  3  |  44   |  17  |  0.0  |
|  3  |  53   |  18  |  0.0  |
|  3  |  35   |  19  |  0.0  |
+-----+-------+------+-------+
