+-----+-------+------+-------+
| qid | docno | rank | score |
+-----+-------+------+-------+
|  1  |  16   |  1   | 0.043 |
|  1  |  53   |  2   |  0.0  |
|  1  |  38   |  3   |  0.0  |
|  1  |  32   |  4   |  0.0  |
|  1  |  27   |  5   |  0.0  |
|  1  |  33   |  6   |  0.0  |
|  1  |  23   |  7   |  0.0  |
|  1  |   5   |  8   |  0.0  |
|  1  |  64   |  9   |  0.0  |
|  1  |  44   |  10  |  0.0  |
|  1  |  39   |  11  |  0.0  |
|  1  |  34   |  12  |  0.0  |
|  1  |   8   |  13  |  0.0  |
|  1  |  59   |  14  |  0.0  |
|  1  |  40   |  15  |  0.0  |
|  1  |  50   |  16  |  0.0  |
|  1  |  48   |  17  |  0.0  |
|  1  |  51   |  18  |  0.0  |
|  1  |  52   |  19  |  0.0  |
|  1  |  47   |  20  |  0.0  |
|  2  |  10   |  1   | 0.049 |
|  2  |   7   |  2   | 0.041 |
|  2  |  37   |  3   |  0.0  |
|  2  |  14   |  4   |  0.0  |
|  2  |  50   |  5   |  0.0  |
|  2  |  66   |  6   |  0.0  |
|  2  |  38   |  7   |  0.0  |
|  2  |  58   |  8   |  0.0  |
|  2  |  55   |  9   |  0.0  |
|  2  |  39   |  10  |  0.0  |
|  2  |  44   |  11  |  0.0  |
|  2  |  17   |  12  |  0.0  |
|  2  |  30   |  13  |  0.0  |
|  2  |   6   |  14  |  0.0  |
|  2  |  51   |  15  |  0.0  |
|  2  |   1   |  16  |  0.0  |
|  2  |   3   |  17  |  0.0  |
|  2  |  36   |  18  |  0.0  |
|  2  |  41   |  19  |  0.0  |
|  2  |  22   |  20  |  0.0  |
|  2  |  29   |  21  |  0.0  |
|  2  |   9   |  22  |  0.0  |
|  3  |  66   |  1   | 0.043 |
|  3  |  29   |  2   |  0.0  |
|  3  |  21   |  3   |  0.0  |
|  3  |  63   |  4   |  0.0  |
|  3  |  17   |  5   |  0.0  |
|  3  |  12   |  6   |  0.0  |
|  3  |  23   |  7   |  0.0  |
|  3  |   3   |  8   |  0.0  |
|  3  |  15   |  9   |  0.0  |
|  3  |  54   |  10  |  0.0  |
|  3  |  57   |  11  |  0.0  |
|  3  |  51   |  12  |  0.0  |
|  3  |  37   |  13  |  0.0  |
|  3  |  34   |  14  |  0.0  |
|  3  |   5   |  15  |  0.0  |
|  3  |  62   |  16  |  0.0  |
|  3  |  44   |  17  |  0.0  |
|  3  |  53   |  18  |  0.0  |
|  3  |  35   |  19  |  0.0  |
+-----+-------+------+-------+
