+-----+-------+------+-------+
| qid | docno | rank | score |
+-----+-------+------+-------+
|  1  |  48   |  1   | 0.64  |
|  1  |  62   |  2   | 0.56  |
|  1  |  51   |  3   | 0.498 |
|  1  |  23   |  4   | 0.472 |
|  1  |  20   |  5   | 0.312 |
|  1  |  52   |  6   |  0.0  |
|  1  |  35   |  7   |  0.0  |
|  1  |  57   |  8   |  0.0  |
|  1  |  60   |  9   |  0.0  |
|  1  |  44   |  10  |  0.0  |
|  1  |  27   |  11  |  0.0  |
|  1  |  64   |  12  |  0.0  |
|  1  |   1   |  13  |  0.0  |
|  1  |  46   |  14  |  0.0  |
|  1  |  50   |  15  |  0.0  |
|  1  |  37   |  16  |  0.0  |
|  1  |  49   |  17  |  0.0  |
|  1  |  47   |  18  |  0.0  |
|  1  |  59   |  19  |  0.0  |
|  1  |  22   |  20  |  0.0  |
|  1  |   9   |  21  |  0.0  |
|  1  |  32   |  22  |  0.0  |
|  1  |  10   |  23  |  0.0  |
|  2  |  31   |  1   | 1.047 |
|  2  |  23   |  2   | 0.64  |
|  2  |  24   |  3   | 0.56  |
|  2  |  47   |  4   | 0.472 |
|  2  |   1   |  5   | 0.449 |
|  2  |  48   |  6   | 0.416 |
|  2  |  12   |  7   |  0.0  |
|  2  |  35   |  8   |  0.0  |
|  2  |  59   |  9   |  0.0  |
|  2  |  63   |  10  |  0.0  |
|  2  |  49   |  11  |  0.0  |
|  2  |  21   |  12  |  0.0  |
|  2  |  52   |  13  |  0.0  |
|  2  |  15   |  14  |  0.0  |
|  2  |  11   |  15  |  0.0  |
|  3  |  58   |  1   | 0.694 |
|  3  |  25   |  2   | 0.481 |
|  3  |  19   |  3   | 0.442 |
|  3  |  12   |  4   | 0.416 |
|  3  |   2   |  5   | 0.318 |
|  3  |  39   |  6   | 0.292 |
|  3  |  43   |  7   |  0.0  |
|  3  |  46   |  8   |  0.0  |
|  3  |  50   |  9   |  0.0  |
|  3  |  20   |  10  |  0.0  |
|  3  |   8   |  11  |  0.0  |
|  3  |  35   |  12  |  0.0  |
|  3  |  56   |  13  |  0.0  |
|  3  |   7   |  14  |  0.0  |
|  3  |  64   |  15  |  0.0  |
|  4  |  85   |  1   | 1.154 |
|  4  |  85   |  2   | 1.154 |
|  4  |  24   |  3   | 1.047 |
|  4  |  87   |  4   | 0.819 |
|  4  |  75   |  5   | 0.819 |
|  4  |  84   |  6   | 0.765 |
|  4  |  84   |  7   | 0.765 |
|  4  |   3   |  8   | 0.694 |
|  4  |  62   |  9   | 0.56  |
|  4  |  79   |  10  | 0.534 |
|  4  |  79   |  11  | 0.534 |
|  4  |  30   |  12  | 0.528 |
|  4  |  94   |  13  |  0.5  |
|  4  |  94   |  14  |  0.5  |
|  4  |  94   |  15  |  0.5  |
|  4  |  71   |  16  | 0.478 |
|  4  |  29   |  17  | 0.472 |
|  4  |  82   |  18  | 0.456 |
|  4  |  82   |  19  | 0.456 |
|  4  |  26   |  20  | 0.449 |
|  4  |  69   |  21  | 0.393 |
|  4  |  73   |  22  | 0.367 |
|  4  |  73   |  23  | 0.367 |
|  4  |  92   |  24  | 0.353 |
|  4  |  88   |  25  | 0.319 |
|  4  |  88   |  26  | 0.319 |
|  4  |  88   |  27  | 0.319 |
|  4  |  88   |  28  | 0.319 |
|  4  |  20   |  29  | 0.312 |
|  4  |  70   |  30  | 0.288 |
|  4  |  40   |  31  | 0.287 |
|  4  |  86   |  32  | 0.215 |
|  4  |  86   |  33  | 0.215 |
|  4  |  74   |  34  |  0.0  |
|  4  |  80   |  35  |  0.0  |
|  4  |  60   |  36  |  0.0  |
|  4  |  96   |  37  |  0.0  |
|  4  |  89   |  38  |  0.0  |
|  4  |  14   |  39  |  0.0  |
|  4  |  98   |  40  |  0.0  |
|  4  |  76   |  41  |  0.0  |
|  4  |  16   |  42  |  0.0  |
|  4  |  39   |  43  |  0.0  |
|  4  |  76   |  44  |  0.0  |
|  4  |  93   |  45  |  0.0  |
|  4  |  93   |  46  |  0.0  |
|  4  |  37   |  47  |  0.0  |
|  4  |  25   |  48  |  0.0  |
|  4  |  98   |  49  |  0.0  |
|  4  |  81   |  50  |  0.0  |
|  4  |  68   |  51  |  0.0  |
|  4  |  74   |  52  |  0.0  |
|  4  |  74   |  53  |  0.0  |
|  4  |  90   |  54  |  0.0  |
|  4  |  95   |  55  |  0.0  |
|  4  |  52   |  56  |  0.0  |
|  4  |  91   |  57  |  0.0  |
|  4  |  99   |  58  |  0.0  |
|  4  |  81   |  59  |  0.0  |
|  4  |  95   |  60  |  0.0  |
|  4  |  89   |  61  |  0.0  |
|  4  |  27   |  62  |  0.0  |
|  4  |  72   |  63  |  0.0  |
|  4  |  93   |  64  |  0.0  |
|  4  |  67   |  65  |  0.0  |
|  4  |  93   |  66  |  0.0  |
|  4  |  47   |  67  |  0.0  |
|  4  |  61   |  68  |  0.0  |
|  4  |  72   |  69  |  0.0  |
|  4  |  98   |  70  |  0.0  |
|  4  |  100  |  71  |  0.0  |
|  4  |  96   |  72  |  0.0  |
|  4  |  99   |  73  |  0.0  |
|  4  |  59   |  74  |  0.0  |
|  4  |  49   |  75  |  0.0  |
|  4  |  17   |  76  |  0.0  |
|  4  |  97   |  77  |  0.0  |
|  4  |  78   |  78  |  0.0  |
|  4  |  65   |  79  |  0.0  |
|  4  |  100  |  80  |  0.0  |
|  4  |  97   |  81  |  0.0  |
|  5  |  24   |  1   | 1.047 |
|  5  |  62   |  2   | 0.56  |
|  5  |  51   |  3   | 0.498 |
|  5  |   2   |  4   | 0.442 |
|  5  |  34   |  5   | 0.408 |
|  5  |   7   |  6   | 0.314 |
|  5  |   6   |  7   | 0.292 |
|  5  |  45   |  8   |  0.0  |
|  5  |  47   |  9   |  0.0  |
|  5  |  44   |  10  |  0.0  |
|  5  |  25   |  11  |  0.0  |
|  5  |  21   |  12  |  0.0  |
|  5  |  67   |  13  |  0.0  |
|  5  |  35   |  14  |  0.0  |
|  5  |  43   |  15  |  0.0  |
|  5  |  55   |  16  |  0.0  |
