+-----+-------+------+-------+
| qid | docno | rank | score |
+-----+-------+------+-------+
|  1  |  57   |  1   | 0.65  |
|  1  |  48   |  2   | 0.647 |
|  1  |  62   |  3   | 0.633 |
|  1  |  10   |  4   | 0.538 |
|  1  |   9   |  5   | 0.512 |
|  1  |  22   |  6   | 0.512 |
|  1  |  50   |  7   | 0.512 |
|  1  |  51   |  8   | 0.504 |
|  1  |  23   |  9   | 0.477 |
|  1  |   1   |  10  | 0.444 |
|  1  |  60   |  11  | 0.443 |
|  1  |  47   |  12  | 0.382 |
|  1  |  59   |  13  | 0.357 |
|  1  |  44   |  14  | 0.279 |
|  1  |  32   |  15  | 0.253 |
|  1  |  46   |  16  | 0.224 |
|  1  |  37   |  17  |  0.0  |
|  1  |  27   |  18  |  0.0  |
|  1  |  49   |  19  |  0.0  |
|  1  |  20   |  20  |  0.0  |
|  1  |  35   |  21  |  0.0  |
|  1  |  52   |  22  |  0.0  |
|  1  |  64   |  23  |  0.0  |
|  2  |  31   |  1   | 1.186 |
|  2  |  23   |  2   | 0.647 |
|  2  |  24   |  3   | 0.633 |
|  2  |  15   |  4   | 0.613 |
|  2  |  59   |  5   | 0.538 |
|  2  |  35   |  6   | 0.512 |
|  2  |   1   |  7   | 0.454 |
|  2  |  49   |  8   | 0.423 |
|  2  |  52   |  9   | 0.382 |
|  2  |  63   |  10  | 0.342 |
|  2  |  47   |  11  | 0.299 |
|  2  |  12   |  12  | 0.279 |
|  2  |  21   |  13  |  0.0  |
|  2  |  48   |  14  |  0.0  |
|  2  |  11   |  15  |  0.0  |
|  3  |  58   |  1   | 0.703 |
|  3  |  39   |  2   | 0.631 |
|  3  |  20   |  3   | 0.613 |
|  3  |  43   |  4   | 0.558 |
|  3  |  25   |  5   | 0.487 |
|  3  |  19   |  6   | 0.448 |
|  3  |  46   |  7   | 0.444 |
|  3  |   2   |  8   | 0.36  |
|  3  |  35   |  9   | 0.357 |
|  3  |   7   |  10  | 0.342 |
|  3  |  50   |  11  |  0.0  |
|  3  |   8   |  12  |  0.0  |
|  3  |  12   |  13  |  0.0  |
|  3  |  56   |  14  |  0.0  |
|  3  |  64   |  15  |  0.0  |
|  4  |  24   |  1   | 1.186 |
|  4  |  71   |  2   | 1.032 |
|  4  |   3   |  3   | 0.703 |
|  4  |  62   |  4   | 0.633 |
|  4  |  85   |  5   | 0.58  |
|  4  |  85   |  6   | 0.58  |
