+-----+-------+------+-------+
| qid | docno | rank | score |
+-----+-------+------+-------+
|  1  |  64   |  1   |  0.0  |
|  1  |  52   |  2   |  0.0  |
|  1  |  35   |  3   |  0.0  |
|  1  |  20   |  4   |  0.0  |
|  1  |  57   |  5   |  0.0  |
|  1  |  48   |  6   |  0.0  |
|  1  |  62   |  7   |  0.0  |
|  1  |  60   |  8   |  0.0  |
|  1  |  44   |  9   |  0.0  |
|  1  |  27   |  10  |  0.0  |
|  1  |  32   |  11  |  0.0  |
|  1  |  10   |  12  |  0.0  |
|  1  |  46   |  13  |  0.0  |
|  1  |  50   |  14  |  0.0  |
|  1  |  23   |  15  |  0.0  |
|  1  |  37   |  16  |  0.0  |
|  1  |  49   |  17  |  0.0  |
|  1  |  47   |  18  |  0.0  |
|  1  |  59   |  19  |  0.0  |
|  1  |  22   |  20  |  0.0  |
|  1  |   9   |  21  |  0.0  |
|  1  |   1   |  22  |  0.0  |
|  1  |  51   |  23  |  0.0  |
|  2  |  12   |  1   |  0.0  |
|  2  |  23   |  2   |  0.0  |
|  2  |   1   |  3   |  0.0  |
|  2  |  35   |  4   |  0.0  |
|  2  |  59   |  5   |  0.0  |
|  2  |  63   |  6   |  0.0  |
|  2  |  49   |  7   |  0.0  |
|  2  |  47   |  8   |  0.0  |
|  2  |  21   |  9   |  0.0  |
|  2  |  24   |  10  |  0.0  |
|  2  |  52   |  11  |  0.0  |
|  2  |  15   |  12  |  0.0  |
|  2  |  48   |  13  |  0.0  |
|  2  |  11   |  14  |  0.0  |
|  2  |  31   |  15  |  0.0  |
|  3  |  43   |  1   |  0.0  |
|  3  |  46   |  2   |  0.0  |
|  3  |   2   |  3   |  0.0  |
|  3  |  50   |  4   |  0.0  |
|  3  |  20   |  5   |  0.0  |
|  3  |  25   |  6   |  0.0  |
|  3  |   8   |  7   |  0.0  |
|  3  |  39   |  8   |  0.0  |
|  3  |  12   |  9   |  0.0  |
|  3  |  35   |  10  |  0.0  |
|  3  |  56   |  11  |  0.0  |
|  3  |   7   |  12  |  0.0  |
|  3  |  19   |  13  |  0.0  |
|  3  |  58   |  14  |  0.0  |
|  3  |  64   |  15  |  0.0  |
|  4  |  99   |  1   | 0.083 |
|  4  |  99   |  2   | 0.083 |
|  4  |  87   |  3   |  0.0  |
|  4  |  79   |  4   |  0.0  |
|  4  |  91   |  5   |  0.0  |
|  4  |  30   |  6   |  0.0  |
|  4  |  65   |  7   |  0.0  |
|  4  |  92   |  8   |  0.0  |
|  4  |  79   |  9   |  0.0  |
|  4  |  97   |  10  |  0.0  |
|  4  |  49   |  11  |  0.0  |
|  4  |  88   |  12  |  0.0  |
|  4  |  82   |  13  |  0.0  |
|  4  |  69   |  14  |  0.0  |
|  4  |  100  |  15  |  0.0  |
|  4  |  98   |  16  |  0.0  |
|  4  |  85   |  17  |  0.0  |
|  4  |  70   |  18  |  0.0  |
|  4  |  73   |  19  |  0.0  |
|  4  |  94   |  20  |  0.0  |
|  4  |  96   |  21  |  0.0  |
|  4  |  90   |  22  |  0.0  |
|  4  |  74   |  23  |  0.0  |
|  4  |  74   |  24  |  0.0  |
|  4  |  68   |  25  |  0.0  |
|  4  |  81   |  26  |  0.0  |
|  4  |  98   |  27  |  0.0  |
|  4  |  62   |  28  |  0.0  |
|  4  |  37   |  29  |  0.0  |
|  4  |  93   |  30  |  0.0  |
|  4  |  93   |  31  |  0.0  |
|  4  |  88   |  32  |  0.0  |
|  4  |  39   |  33  |  0.0  |
|  4  |  16   |  34  |  0.0  |
|  4  |  76   |  35  |  0.0  |
|  4  |  98   |  36  |  0.0  |
|  4  |  14   |  37  |  0.0  |
|  4  |  89   |  38  |  0.0  |
|  4  |  97   |  39  |  0.0  |
|  4  |  84   |  40  |  0.0  |
|  4  |  75   |  41  |  0.0  |
|  4  |  67   |  42  |  0.0  |
|  4  |  84   |  43  |  0.0  |
|  4  |  85   |  44  |  0.0  |
|  4  |  100  |  45  |  0.0  |
|  4  |  95   |  46  |  0.0  |
|  4  |  80   |  47  |  0.0  |
|  4  |  86   |  48  |  0.0  |
|  4  |  40   |  49  |  0.0  |
|  4  |  94   |  50  |  0.0  |
|  4  |  60   |  51  |  0.0  |
|  4  |  76   |  52  |  0.0  |
|  4  |  25   |  53  |  0.0  |
|  4  |  86   |  54  |  0.0  |
|  4  |  61   |  55  |  0.0  |
|  4  |  94   |  56  |  0.0  |
|  4  |  47   |  57  |  0.0  |
|  4  |  72   |  58  |  0.0  |
|  4  |  88   |  59  |  0.0  |
